=== top 25 hot symbols: corosio ===
# Overhead       Samples  Command        Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ............  .............  ...................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     1.13%           236  corosio_bench  [kernel.kallsyms]    [k] native_irq_return_iret
     1.08%           226  corosio_bench  [kernel.kallsyms]    [k] lock_vma_under_rcu
     1.06%           223  corosio_bench  corosio_bench        [.] void* boost::asio::detail::thread_info_base::allocate<boost::asio::detail::thread_info_base::executor_function_tag>(boost::asio::detail::thread_info_base::executor_function_tag, boost::asio::detail::thread_info_base*, unsigned long, unsigned long)
     1.06%           221  corosio_bench  corosio_bench        [.] boost::asio::detail::awaitable_async_op<void (), boost::asio::detail::co_spawn_dispatch, boost::asio::any_io_executor>::await_suspend(std::__n4861::coroutine_handle<void>)::{lambda(void*)#1}::__invoke(void*)
     1.01%           210  corosio_bench  corosio_bench        [.] boost::asio::detail::scheduler::do_poll_one(boost::asio::detail::conditionally_enabled_mutex::scoped_lock&, boost::asio::detail::scheduler_thread_info&, boost::system::error_code const&)
     1.00%           205  corosio_bench  corosio_bench        [.] boost::asio::detail::scheduler::work_finished()
     0.97%           204  corosio_bench  [kernel.kallsyms]    [k] __alloc_frozen_pages_noprof
     0.93%           195  corosio_bench  [kernel.kallsyms]    [k] unmap_page_range
     0.93%           191  corosio_bench  [kernel.kallsyms]    [k] do_user_addr_fault
     0.91%           188  corosio_bench  [kernel.kallsyms]    [k] get_mem_cgroup_from_mm
     0.87%           183  corosio_bench  [kernel.kallsyms]    [k] charge_memcg
     0.86%           179  corosio_bench  corosio_bench        [.] boost::asio::awaitable<boost::asio::detail::awaitable_thread_entry_point, boost::asio::any_io_executor> boost::asio::detail::co_spawn_entry_point<boost::asio::detail::detached_handler, boost::asio::any_io_executor, boost::asio::detail::awaitable_as_function<void, boost::asio::any_io_executor> >(boost::asio::awaitable<void, boost::asio::any_io_executor>*, boost::asio::detail::co_spawn_state<boost::asio::detail::detached_handler, boost::asio::any_io_executor, boost::asio::detail::awaitable_as_function<void, boost::asio::any_io_executor>, void>) [clone .destroy]
     0.84%           176  corosio_bench  corosio_bench        [.] void boost::asio::execution::detail::any_executor_base::execute<boost::asio::detail::binder0<boost::asio::detail::awaitable_async_op_handler<void (), boost::asio::any_io_executor, void> > >(boost::asio::detail::binder0<boost::asio::detail::awaitable_async_op_handler<void (), boost::asio::any_io_executor, void> >&&) const

